areacd,category,value
E01013453,Gross value added,24.75
E01013454,Gross value added,4.992
E01013455,Gross value added,42.801
E01013456,Gross value added,34.611
E01013457,Gross value added,10.766
E01013458,Gross value added,10.87
E01013459,Gross value added,3.439
E01013460,Gross value added,15.717
E01013461,Gross value added,17.288
E01013462,Gross value added,9.391
E01013463,Gross value added,7.444
E01013464,Gross value added,6.663
E01013465,Gross value added,12.345
E01013466,Gross value added,6.004
E01013467,Gross value added,4.697
E01013468,Gross value added,53.786
E01013469,Gross value added,53.786
E01013470,Gross value added,49.357
E01013471,Gross value added,12.475
E01013472,Gross value added,106.884
E01013473,Gross value added,14.344
E01013474,Gross value added,49.357
E01013475,Gross value added,16.913
E01013476,Gross value added,3.822
E01013477,Gross value added,42.141
E01013479,Gross value added,559.259
E01013480,Gross value added,45.212
E01013481,Gross value added,2.244
E01013483,Gross value added,9.113
E01013484,Gross value added,20.023
E01013485,Gross value added,5.638
E01013486,Gross value added,20.622
E01013487,Gross value added,64.063
E01013488,Gross value added,6.016
E01013489,Gross value added,8.424
E01013490,Gross value added,20.211
E01013491,Gross value added,6.479
E01013492,Gross value added,16.416
E01013493,Gross value added,5.29
E01013494,Gross value added,2.985
E01013495,Gross value added,3.888
E01013496,Gross value added,4.941
E01013497,Gross value added,10.019
E01013498,Gross value added,3.066
E01013499,Gross value added,16.82
E01013500,Gross value added,5.062
E01013501,Gross value added,8.944
E01013502,Gross value added,9.796
E01013503,Gross value added,12.317
E01013504,Gross value added,14.924
E01013505,Gross value added,3.318
E01013506,Gross value added,21.153
E01013507,Gross value added,21.741
E01013508,Gross value added,4.603
E01013509,Gross value added,24.137
E01013510,Gross value added,3.494
E01013511,Gross value added,13.186
E01013512,Gross value added,103.845
E01013513,Gross value added,7.963
E01013514,Gross value added,8.643
E01013515,Gross value added,16.28
E01013517,Gross value added,4.231
E01013518,Gross value added,8.881
E01013519,Gross value added,5.225
E01013520,Gross value added,5.956
E01013521,Gross value added,7.052
E01013522,Gross value added,31.352
E01013523,Gross value added,253.081
E01013524,Gross value added,45.621
E01013525,Gross value added,56.891
E01013526,Gross value added,67.063
E01013527,Gross value added,18.192
E01013528,Gross value added,13.244
E01013529,Gross value added,21.057
E01013530,Gross value added,183.914
E01013531,Gross value added,7.831
E01013532,Gross value added,21.305
E01013533,Gross value added,7.176
E01013534,Gross value added,4.81
E01013535,Gross value added,4.382
E01013536,Gross value added,154.611
E01013537,Gross value added,10.815
E01013538,Gross value added,137.491
E01013539,Gross value added,12.813
E01013540,Gross value added,9.097
E01013541,Gross value added,27.252
E01013542,Gross value added,551.828
E01013543,Gross value added,17.058
E01013544,Gross value added,22.395
E01013545,Gross value added,6.791
E01013546,Gross value added,8.571
E01013547,Gross value added,15.219
E01013548,Gross value added,13.784
E01013549,Gross value added,4.063
E01013550,Gross value added,3.271
E01013551,Gross value added,9.883
E01013552,Gross value added,6.311
E01013553,Gross value added,7.037
E01013554,Gross value added,108.917
