areacd,category,value
E01008881,2020,17.659
E01008882,2020,3.418
E01008883,2020,84.799
E01008884,2020,188.618
E01008885,2020,4.812
E01008886,2020,30.053
E01008887,2020,33.942
E01008888,2020,5.733
E01008889,2020,126.745
E01008890,2020,8.26
E01008891,2020,10.921
E01008892,2020,1.823
E01008893,2020,8.333
E01008894,2020,26.225
E01008895,2020,7.515
E01008896,2020,3.051
E01008897,2020,3.414
E01008898,2020,2.819
E01008899,2020,156.523
E01008901,2020,194.041
E01008905,2020,10.188
E01008906,2020,6.562
E01008907,2020,4.273
E01008909,2020,34.4
E01008910,2020,571.436
E01008911,2020,6.562
E01008913,2020,61.045
E01008914,2020,127.748
E01008915,2020,90.189
E01008916,2020,8.535
E01008917,2020,34.219
E01008918,2020,5.513
E01008919,2020,20.005
E01008920,2020,75.053
E01008921,2020,21.962
E01008923,2020,8.851
E01008924,2020,24.69
E01008925,2020,3.09
E01008927,2020,4.651
E01008928,2020,3.77
E01008929,2020,9.663
E01008930,2020,20.466
E01008931,2020,2.381
E01008932,2020,17.284
E01008933,2020,7.534
E01008934,2020,8.228
E01008935,2020,21.349
E01008936,2020,7.855
E01008937,2020,5.954
E01008938,2020,3.078
E01008939,2020,8.895
E01008940,2020,12.129
E01008941,2020,3.088
E01008942,2020,5.571
E01008943,2020,14.66
E01008944,2020,4.691
E01008945,2020,21.792
E01008946,2020,4.209
E01008947,2020,10.092
E01008948,2020,21.33
E01008949,2020,8.802
E01008950,2020,49.912
E01008951,2020,7.361
E01008952,2020,25.213
E01008953,2020,85.047
E01008954,2020,49.912
E01008955,2020,29.054
E01008956,2020,18.616
E01008957,2020,15.062
E01008958,2020,49.912
E01008959,2020,4.548
E01008960,2020,7.69
E01008961,2020,328.666
E01008962,2020,5.365
E01008963,2020,16.517
E01008964,2020,5.767
E01008965,2020,10.515
E01008966,2020,6.868
E01008967,2020,16.403
E01008968,2020,12.195
E01008969,2020,5.502
E01008970,2020,6.979
E01008971,2020,14.168
E01008972,2020,14.195
E01008973,2020,4.148
E01008974,2020,7.272
E01008975,2020,10.688
E01008976,2020,5.869
E01008977,2020,25.982
E01008978,2020,1.728
E01008979,2020,10.09
E01008980,2020,7.075
E01008981,2020,18.461
E01008982,2020,60.745
E01008984,2020,8.662
E01008986,2020,5.898
E01008987,2020,26.916
E01008988,2020,125.02
E01008989,2020,14.084
E01008990,2020,334.303
E01008991,2020,28.579
E01008992,2020,22.527
E01008994,2020,242.494
E01008995,2020,20.171
E01008996,2020,6.017
